country,log_gdp_pc,social_support,life_exp,freedom,generosity,corruption
Finland,10.792,0.969,71.150,0.961,-0.019,0.182
Denmark,10.962,0.954,71.250,0.934,0.134,0.196
Iceland,10.896,0.983,72.050,0.936,0.211,0.668
Israel,10.639,0.943,72.697,0.809,-0.023,0.708
Netherlands,10.942,0.930,71.550,0.887,0.213,0.379
Sweden,10.883,0.939,72.150,0.948,0.165,0.202
Norway,11.088,0.943,71.500,0.947,0.141,0.283
Switzerland,11.164,0.920,72.900,0.891,0.027,0.266
Luxembourg,11.660,0.879,71.675,0.915,0.024,0.345
New Zealand,10.662,0.952,70.350,0.887,0.175,0.271
Austria,10.899,0.888,71.150,0.855,0.102,0.497
Australia,10.821,0.934,71.050,0.890,0.198,0.496
Canada,10.773,0.929,71.400,0.874,0.153,0.420
Ireland,11.527,0.905,71.300,0.874,0.092,0.358
United States,11.048,0.919,65.850,0.800,0.137,0.689
Germany,10.879,0.896,71.300,0.846,0.030,0.420
Belgium,10.844,0.915,70.899,0.825,0.001,0.549
Czechia,10.611,0.953,69.050,0.903,0.040,0.859
United Kingdom,10.704,0.882,70.300,0.852,0.253,0.454
Lithuania,10.568,0.939,67.397,0.748,-0.145,0.805
France,10.701,0.909,72.300,0.819,-0.100,0.553
Slovenia,10.588,0.951,71.052,0.913,0.014,0.771
Costa Rica,9.952,0.872,70.000,0.895,-0.070,0.768
Romania,10.339,0.848,67.051,0.856,-0.172,0.929
Singapore,11.571,0.878,73.800,0.878,0.063,0.146
United Arab Emirates,11.145,0.826,66.243,0.942,0.096,0.584
Taiwan Province of China,10.797,0.884,69.600,0.804,-0.129,0.681
Uruguay,10.037,0.913,67.500,0.895,-0.065,0.575
Slovakia,10.353,0.953,68.838,0.753,-0.016,0.898
Saudi Arabia,10.715,0.884,64.399,0.894,-0.081,0.691
Estonia,10.541,0.946,69.650,0.929,0.032,0.409
Spain,10.540,0.932,72.350,0.782,-0.066,0.711
Italy,10.634,0.882,72.050,0.711,-0.074,0.842
Kosovo,9.359,0.844,65.195,0.861,0.259,0.866
Chile,10.114,0.889,70.300,0.792,-0.011,0.823
Mexico,9.850,0.804,65.800,0.856,-0.094,0.768
Malta,10.661,0.923,71.600,0.886,0.119,0.729
Panama,10.305,0.896,68.950,0.855,-0.133,0.878
Poland,10.453,0.925,69.049,0.765,-0.031,0.736
Nicaragua,8.618,0.853,65.650,0.877,0.021,0.625
Latvia,10.370,0.937,66.400,0.818,-0.056,0.830
Bahrain,10.776,0.844,65.825,0.944,0.117,0.737
Guatemala,9.116,0.812,62.900,0.856,-0.057,0.837
Kazakhstan,10.166,0.931,65.802,0.853,0.000,0.721
Serbia,9.854,0.873,67.088,0.845,0.204,0.816
Cyprus,10.611,0.826,72.802,0.724,-0.060,0.860
Japan,10.616,0.894,74.349,0.799,-0.237,0.640
Croatia,10.341,0.917,68.950,0.757,-0.093,0.925
Brazil,9.582,0.836,65.749,0.801,-0.009,0.738
El Salvador,9.089,0.755,65.597,0.918,-0.108,0.620
Hungary,10.419,0.943,67.500,0.758,-0.059,0.839
Argentina,9.959,0.891,67.200,0.823,-0.089,0.814
Honduras,8.635,0.766,64.063,0.843,0.097,0.843
Uzbekistan,8.948,0.875,65.301,0.938,0.230,0.638
Malaysia,10.169,0.799,65.662,0.877,0.160,0.758
Portugal,10.429,0.878,71.250,0.902,-0.196,0.878
South Korea,10.693,0.812,73.650,0.717,-0.046,0.701
Greece,10.288,0.835,71.150,0.568,-0.240,0.793
